web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590498045-1762","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=85","The Virus Has Transformed the 2020 Elections. Here’s How.","https://www.allsides.com/news/2020-03-29-0840/virus-has-transformed-2020-elections-here-s-how","Read full story","http://nytimes.com/2020/03/29/us/2020-elections-coronavirus.html?smid=tw-nytpolitics&smtyp=cur"
"1590495687-1214","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=120","I have OCD. Here’s how I’m dealing with coronavirus fears.","https://www.allsides.com/news/2020-03-10-0602/i-have-ocd-here-s-how-i-m-dealing-coronavirus-fears","Read full story","https://www.vox.com/first-person/2020/3/10/21172206/coronavirus-covid-19-anxiety-depression-mental-health-ocd"
"1590498856-1923","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=75","U.S. economy lost a total of 701,000 jobs in March","https://www.allsides.com/news/2020-04-03-0602/us-economy-lost-total-701000-jobs-march","Read full story","https://www.nbcnews.com/business/business-news/march-jobs-report-shows-loss-701-000-jobs-n1175726"
"1590503579-2902","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=4","Michael Cohen released from prison over coronavirus concerns","https://www.allsides.com/news/2020-05-21-1209/michael-cohen-released-prison-over-coronavirus-concerns","Read full story","https://www.theguardian.com/us-news/2020/may/20/michael-cohen-to-be-released-from-prison-and-serve-sentence-at-home"
"1590500433-2217","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=55","California to provide more help for unemployed undocumented immigrants, others amid coronavirus","https://www.allsides.com/news/2020-04-16-0553/california-provide-more-help-unemployed-undocumented-immigrants-others-amid","Read full story","https://www.latimes.com/california/story/2020-04-15/gavin-newsom-california-coronavirus-help-unemployment-independent-contractors-immigrants"
"1590495635-1198","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=120","S&P 500 index drops 7%, triggering a 15-minute trading halt","https://www.allsides.com/news/2020-03-09-0733/sp-500-index-drops-7-triggering-15-minute-trading-halt","Read full story","https://www.politico.com/news/2020/03/09/stocks-oil-plunge-over-global-fight-for-crude-production-124243"
"1590503527-2888","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=6","Trump administration paying huge premium for mask-cleaning machines. Which don't do the job.","https://www.allsides.com/news/2020-05-20-1310/trump-administration-paying-huge-premium-mask-cleaning-machines-which-dont-do","Read full story","https://www.nbcnews.com/politics/white-house/trump-administration-paying-huge-premium-mask-cleaning-machines-which-don-n1210896?cid=sm_npd_nn_tw_ma"
"1590502430-2627","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=29","Auschwitz Museum condemns Reopen Illinois protester’s sign seen at Chicago rally","https://www.allsides.com/news/2020-05-02-1555/auschwitz-museum-condemns-reopen-illinois-protester-s-sign-seen-chicago-rally","Read full story","https://chicago.suntimes.com/coronavirus/2020/5/2/21245211/auschwitz-illinois-nazis-protest-reopen-museum-coronavirus-pritzker"
"1590499213-1983","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=70","What’s true, what’s not in Biden’s attacks on Trump and getting experts in China amid coronavirus","https://www.allsides.com/news/2020-04-06-1539/what-s-true-what-s-not-biden-s-attacks-trump-and-getting-experts-china-amid","Read full story","https://www.politifact.com/factchecks/2020/apr/03/joe-biden/whats-true-whats-not-bidens-attacks-trump-and-gett/"
"1590498135-1774","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=84","Trump’s Coronavirus Response Is a Failure by His Own Standards","https://www.allsides.com/news/2020-03-30-0734/trump-s-coronavirus-response-failure-his-own-standards","Read full story","https://slate.com/news-and-politics/2020/03/trump-coronavirus-response-failure.html"
"1590496489-1410","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=108","Congress needs to spend $1 trillion on coronavirus stimulus. Here's how they should do it.","https://www.allsides.com/news/2020-03-19-0900/congress-needs-spend-1-trillion-coronavirus-stimulus-heres-how-they-should-do","Read full story","https://theweek.com/articles/902706/congress-needs-spend-1-trillion-coronavirus-stimulus-heres-how-should"
"1590503094-2747","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=21","Laura Ingraham wrong about 'no real scientific basis' for social distancing","https://www.allsides.com/news/2020-05-07-1706/laura-ingraham-wrong-about-no-real-scientific-basis-social-distancing","Read full story","https://www.politifact.com/factchecks/2020/may/06/laura-ingraham/laura-ingraham-wrong-about-no-real-scientific-basi/"
