link,link-href
"Donors can now give $620,600 to Biden and DNC, expanding Democratic big-money fundraising",https://www.washingtonpost.com/politics/donors-can-now-give-620600-to-biden-and-dnc-expanding-democratic-big-money-fundraising/2020/05/16/d2bf51cc-978a-11ea-82b4-c8db161ff6e5_story.html
Sen. Lindsey Graham rejects Trump’s call to summon Obama to testify on alleged ‘Obamagate’ conspiracy,https://www.washingtonpost.com/politics/sen-lindsey-graham-rejects-trumps-call-to-summon-obama-to-testify-on-alleged-obamagate-conspiracy/2020/05/14/62d0f146-95f9-11ea-82b4-c8db161ff6e5_story.html
Two big warning signs for Trump in the new coronavirus poll — signs he doesn’t seem to want to see,https://www.washingtonpost.com/politics/2020/05/12/2-big-warning-signs-trump-new-coronavirus-poll-signs-he-doesnt-seem-want-see/
Theory that Trump’s support is hampered by shy voters returns for another election cycle,https://www.washingtonpost.com/politics/2020/05/13/theory-that-trumps-support-is-hampered-by-shy-voters-returns-another-election-cycle/
Biden decries pandemic’s effects on black and Latino communities,https://www.washingtonpost.com/politics/biden-decries-pandemics-effects-on-black-and-latino-communities/2020/05/04/6af42046-8e3d-11ea-a0bc-4e9ad4866d21_story.html
Never Trumpers will host their own ‘Republican convention’ during the RNC,https://www.washingtonpost.com/politics/2020/05/15/never-trumpers-will-host-their-own-republican-convention-during-rnc/
"The Health 202: Texts to federal government mental health hotline up roughly 1,000 percent",https://www.washingtonpost.com/politics/the-health-202-texts-to-federal-government-mental-health-hotline-up-roughly-1000-percent/2020/05/04/32fc754c-ccbc-41de-8863-86b20f7eecff_story.html
"Trump narrowly outraised Biden in April, but maintains significant cash lead",https://www.washingtonpost.com/politics/trump-narrowly-outraised-biden-in-april-but-maintains-significant-cash-lead/2020/05/11/d8d5be4e-93ec-11ea-91d7-cf4423d47683_story.html
Trump flouts coronavirus protocols as security experts warn of need to protect president from a lethal threat,https://www.washingtonpost.com/politics/trump-flouts-coronavirus-protocols-as-security-experts-warn-of-need-to-protect-president-from-a-lethal-threat/2020/05/08/3a6a9cec-9136-11ea-a9c0-73b93422d691_story.html
How much of Trump’s presidency has he spent tweeting?,https://www.washingtonpost.com/politics/2020/05/12/how-much-trumps-presidency-has-he-spent-tweeting/
Trump presses immunity argument in Summer Zervos defamation case,https://www.washingtonpost.com/politics/trump-presses-immunity-argument-in-summer-zervos-defamation-case/2020/05/12/87abadce-9461-11ea-82b4-c8db161ff6e5_story.html
"Obama’s former aides angry, hurt over Ronny Jackson’s embrace of Trump’s conspiracy theories",https://www.washingtonpost.com/politics/2020/05/14/obamas-former-aides-angry-hurt-over-ronny-jacksons-embrace-trumps-conspiracies/
Power Up: Trump wants a ‘transition to greatness.’ But Americans still fear the risks of reopening.,https://www.washingtonpost.com/politics/power-up-trump-wants-a-transition-to-greatness-but-americans-still-fear-the-risks-of-reopening/2020/05/12/a8213a4d-b2e2-48ce-82ab-b02d3b3ed732_story.html
"Biden virtual Tampa rally runs into glitches, awkwardness and blank screens",https://www.washingtonpost.com/politics/biden-virtual-tampa-rally-runs-into-glitches-awkwardness-and-blank-screens/2020/05/07/03bb7b36-906d-11ea-9e23-6914ee410a5f_story.html
The Finance 202: House Democrats’ relief package is historically huge. Economists say it might not be enough.,https://www.washingtonpost.com/politics/the-finance-202-house-democrats-relief-package-is-historically-huge-economists-say-it-might-not-be-enough/2020/05/15/1f07788b-bebf-4ad2-952b-d4fb16f5c5a7_story.html
"Even at the best-protected workplace in the country, the virus finds a way in",https://www.washingtonpost.com/politics/2020/05/08/even-best-protected-employer-country-virus-finds-way/
"The Trump campaign’s tack on the Biden allegation: Focus on hypocrisy, not the case against him",https://www.washingtonpost.com/politics/2020/05/02/trump-campaigns-tack-biden-allegation-focus-hypocrisy-not-case-against-him/
"Trump, reversing course, says coronavirus task force will continue ‘indefinitely’",https://www.washingtonpost.com/politics/trump-reversing-course-says-coronavirus-task-force-will-continue-indefinitely/2020/05/06/8434a94c-8fad-11ea-a9c0-73b93422d691_story.html
What today’s special elections in California and Wisconsin mean for the parties,https://www.washingtonpost.com/politics/what-todays-special-elections-in-california-and-wisconsin-mean-for-the-parties/2020/05/12/bce83b26-c6fd-421a-b0be-87bf33154c7c_story.html
Fauci’s warning about reopening may have more influence over Americans than governors,https://www.washingtonpost.com/politics/2020/05/12/faucis-warning-about-reopening-may-have-more-influence-over-americans-than-governors/
Trump calls Romney a ‘LOSER’ following sharp criticism for firing inspectors general,https://www.washingtonpost.com/politics/trump-calls-romney-a-loser-following-sharp-criticism-for-firing-inspectors-general/2020/05/18/8c0a0be2-9919-11ea-ac72-3841fcc9b35f_story.html
"Lots of talk — but so far no action — about second $1,200 stimulus check for U.S. households",https://www.washingtonpost.com/us-policy/2020/05/14/treasury-coronavirus-second-stimulus-check-1200/
